Match,Sport,League,Country,Start Time,Home Team,Away Team,Home Win Odds,Draw Odds,Away Win Odds,Venue,Is Live
France. Ligue 1,Football,France. Ligue 1,France,2025-09-14T21:15:00,Stade Brestois 29,Paris,2.625,3.605,2.799,Stade Francis-Le Ble (Brest),False
France. Ligue 1,Football,France. Ligue 1,France,2025-09-14T21:15:00,Strasbourg,Le Havre,1.811,3.99,4.705,Stade de la Meinau (Strasbourg),False
France. Ligue 1,Football,France. Ligue 1,France,2025-09-15T00:45:00,Stade Rennais,Lyon,2.46,3.71,2.947,Roazhon Park (Rennes),False
Netherlands. Eredivisie,Football,Netherlands. Eredivisie,Netherlands,2025-09-14T16:15:00,Excelsior,Sparta Rotterdam,2.429,3.62,2.824,Woudestein (Rotterdam),False
Netherlands. Eredivisie,Football,Netherlands. Eredivisie,Netherlands,2025-09-14T18:30:00,Heracles Almelo,AZ Alkmaar,5.72,4.605,1.539,Erve Asito (Almelo),False
Netherlands. Eredivisie,Football,Netherlands. Eredivisie,Netherlands,2025-09-14T18:30:00,Utrecht,Groningen,1.762,3.785,4.76,Galgenwaard (Utrecht),False
Netherlands. Eredivisie,Football,Netherlands. Eredivisie,Netherlands,2025-09-14T20:45:00,Telstar,Fortuna Sittard,2.338,3.46,3.075,711 Stadion (Velsen-Zuid),False
Portugal. Primeira Liga,Football,Portugal. Primeira Liga,Portugal,2025-09-14T20:30:00,Estrela da Amadora,Vitoria Guimaraes,3.055,3.1,2.49,Jose Gomes (Amadora),False
Portugal. Primeira Liga,Football,Portugal. Primeira Liga,Portugal,2025-09-14T23:00:00,Arouca,Casa Pia,2.03,3.24,4.02,Municipal de Arouca (Arouca),False
Portugal. Primeira Liga,Football,Portugal. Primeira Liga,Portugal,2025-09-15T01:30:00,Braga,Gil Vicente,1.57,4.05,6.0,Municipal (Braga),False
Kontinental Hockey League,Ice Hockey,Kontinental Hockey League,World,2025-09-14T17:00:00,Neftekhimik,Lokomotiv Yaroslavl,4.42,4.3,1.72,Neftekhimik Ice Palace (Nizhnekamsk),False
Kontinental Hockey League,Ice Hockey,Kontinental Hockey League,World,2025-09-14T20:00:00,Ak Bars Kazan,Metallurg Magnitogorsk,2.4,4.1,2.75,TatNeft Arena (Kazan),False
Kontinental Hockey League,Ice Hockey,Kontinental Hockey League,World,2025-09-14T20:00:00,Severstal Cherepovets,CSKA Moscow,2.899,3.95,2.3,Ice Palace (Cherepovets),False
Kontinental Hockey League,Ice Hockey,Kontinental Hockey League,World,2025-09-14T20:00:00,SKA Saint Petersburg,Lada Togliatti,1.67,4.3,4.885,Ice Palace (Saint Petersburg),False
Kontinental Hockey League,Ice Hockey,Kontinental Hockey League,World,2025-09-14T20:00:00,Sochi,Traktor Chelyabinsk,4.42,4.2,1.76,Bolshoy Ice Dome (Sochi),False
Kontinental Hockey League,Ice Hockey,Kontinental Hockey League,World,2025-09-14T20:00:00,Spartak Moscow,Torpedo Nizhny Novgorod,1.97,4.2,3.62,Megasport Sport Palace (Moscow),False
Naoya Inoue vs Murodjon Akhmadaliev,Boxing,Naoya Inoue vs Murodjon Akhmadaliev,World,2025-09-14T17:00:00,Naoya Inoue,Murodjon Akhmadaliev,1.178,28.0,5.24,Aichi International Arena (Nagoya),False
WNBA,Basketball,WNBA,United States,2025-09-14T23:00:00,Minnesota Lynx (Women),Golden State Valkyries (Women),,,,Target Center (Minneapolis),False
WNBA,Basketball,WNBA,United States,2025-09-15T01:00:00,Atlanta Dream (Women),Indiana Fever (Women),,,,Gateway Center (College Park),False
FIBA EuroBasket,Basketball,FIBA EuroBasket,Europe,2025-09-14T20:00:00,Greece,Finland,,,,Xiaomi Arena (Riga),False
FIBA EuroBasket,Basketball,FIBA EuroBasket,Europe,2025-09-15T00:00:00,Turkey,Germany,,,,Xiaomi Arena (Riga),False
USA. MLB,Baseball,USA. MLB,United States,2025-09-14T21:35:00,Washington Nationals,Pittsburgh Pirates,1.871,,1.972,National Park (Washington),False
USA. MLB,Baseball,USA. MLB,United States,2025-09-14T23:35:00,Atlanta Braves,Houston Astros,2.16,,1.728,Truist Park (Atlanta),False
USA. MLB,Baseball,USA. MLB,United States,2025-09-14T23:35:00,Philadelphia Phillies,Kansas City Royals,1.622,,2.351,Citizens Bank Park (Philadelphia),False
USA. MLB,Baseball,USA. MLB,United States,2025-09-14T23:37:00,Toronto Blue Jays,Baltimore Orioles,1.549,,2.525,Rogers Centre (Toronto),False
USA. MLB,Baseball,USA. MLB,United States,2025-09-14T23:40:00,Cleveland Guardians,Chicago White Sox,1.589,,2.424,Progressive Field (Cleveland),False
USA. MLB,Baseball,USA. MLB,United States,2025-09-14T23:40:00,Miami Marlins,Detroit Tigers,2.173,,1.72,Loan Depot (Miami),False
UEFA Champions League,Football,UEFA Champions League,Europe,2025-09-18T01:00:00,Paris Saint-Germain,Atalanta,1.368,5.29,8.15,Parc des Princes (Paris),False
France. Ligue 1,Football,France. Ligue 1,France,2025-09-22T00:45:00,Olympique de Marseille,Paris Saint-Germain,3.895,3.945,1.979,Velodrome (Marseille),False
