Match,Sport,League,Country,Start Time,Home Team,Away Team,Home Win Odds,Draw Odds,Away Win Odds,Venue,Is Live
England vs South Africa,Cricket,England vs South Africa,World,2025-09-14T19:30:00,England,South Africa,1.511,25.0,2.647,Nottinghamshire Spots Club (Nottingham),False
Caribbean Premier League,Cricket,Caribbean Premier League,World,2025-09-15T05:00:00,Guyana Amazon Warriors,Barbados Royals,1.643,25.0,2.292,Providence Stadium (Georgetown),False
England. Premier League,Football,England. Premier League,England,2025-09-14T19:00:00,Burnley,Liverpool,8.7,5.52,1.369,Turf Moor (Burnley),False
England. Premier League,Football,England. Premier League,England,2025-09-14T21:30:00,Manchester City,Manchester United,1.803,4.25,4.435,Etihad (Manchester),False
Germany. Bundesliga,Football,Germany. Bundesliga,Germany,2025-09-14T19:30:00,St. Pauli,Augsburg,2.172,3.545,3.665,Millerntor (Hamburg),False
Germany. Bundesliga,Football,Germany. Bundesliga,Germany,2025-09-14T21:30:00,Borussia Monchengladbach,Werder Bremen,1.999,4.305,3.535,Borussia-Park (Monchengladbach),False
Spain. La Liga,Football,Spain. La Liga,Spain,2025-09-14T18:00:00,Celta,Girona,1.671,4.2,5.58,Balaídos (Vigo),False
Spain. La Liga,Football,Spain. La Liga,Spain,2025-09-14T20:15:00,Levante UD,Real Betis,3.38,3.765,2.202,Ciudad de Valencia (Valencia),False
Spain. La Liga,Football,Spain. La Liga,Spain,2025-09-14T22:30:00,Osasuna,Rayo Vallecano,2.707,3.125,3.065,El Sadar (Pamplona),False
Spain. La Liga,Football,Spain. La Liga,Spain,2025-09-15T01:00:00,Barcelona,Valencia,1.33,6.24,9.65,Camp Nou (Barcelona),False
Italy. Serie A,Football,Italy. Serie A,Italy,2025-09-14T16:30:00,Roma,Torino,1.547,4.38,7.11,Stadio Olimpico (Roma),False
Italy. Serie A,Football,Italy. Serie A,Italy,2025-09-14T19:00:00,Atalanta,Lecce,1.421,4.96,9.05,Gewiss Stadium (Bergamo),False
Italy. Serie A,Football,Italy. Serie A,Italy,2025-09-14T19:00:00,Pisa 1909,Udinese Calcio,2.895,3.13,2.853,Arena Garibaldi - Stadio Romeo Anconetani (Pisa),False
Italy. Serie A,Football,Italy. Serie A,Italy,2025-09-14T22:00:00,Sassuolo Calcio,Lazio,3.645,3.645,2.142,Mapei Stadium – Città del Tricolore (Reggio Emilia),False
Italy. Serie A,Football,Italy. Serie A,Italy,2025-09-15T00:45:00,Milan,Bologna 1909,1.948,3.555,4.53,Giuseppe Meazza (Milan),False
Russia. Premier League,Football,Russia. Premier League,Russia,2025-09-14T17:30:00,Krylia Sovetov,Sochi,2.224,3.535,3.535,Samara Arena (Samara),False
Russia. Premier League,Football,Russia. Premier League,Russia,2025-09-14T20:00:00,Baltika Kaliningrad,Zenit Saint Petersburg,4.815,3.535,1.906,Rostec Arena (Kaliningrad),False
Russia. Premier League,Football,Russia. Premier League,Russia,2025-09-14T22:30:00,Rostov,CSKA Moscow,3.36,3.565,2.286,Rostov Arena (Rostov on Don),False
France. Ligue 1,Football,France. Ligue 1,France,2025-09-14T19:00:00,Lille OSC,Toulouse,1.913,3.885,4.245,Pierre-Mauroy (Villeneuve-d'Ascq),False
France. Ligue 1,Football,France. Ligue 1,France,2025-09-14T21:15:00,Metz,Angers SCO,2.326,3.43,3.4,Stade Saint-Symphorien (Longeville-les-Metz),False
France. Ligue 1,Football,France. Ligue 1,France,2025-09-14T21:15:00,Paris Saint-Germain,RC Lens,1.394,5.84,7.85,Parc des Princes (Paris),False
